InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,IsReturn,DayOfWeek,Hour
536388,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 09:59:00,5.95,16250,United Kingdom,17.85,2010-12,False,Wednesday,9
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,2010-12-01 10:03:00,8.5,12431,Australia,51.0,2010-12,False,Wednesday,10
536390,22941,CHRISTMAS LIGHTS 10 REINDEER,2,2010-12-01 10:19:00,8.5,17511,United Kingdom,17.0,2010-12,False,Wednesday,10
536392,22150,3 STRIPEY MICE FELTCRAFT,6,2010-12-01 10:29:00,1.95,13705,United Kingdom,11.7,2010-12,False,Wednesday,10
536393,22180,RETROSPOT LAMP,8,2010-12-01 10:37:00,9.95,13747,United Kingdom,79.6,2010-12,False,Wednesday,10
536394,21506,"FANCY FONT BIRTHDAY CARD, ",24,2010-12-01 10:39:00,0.42,13408,United Kingdom,10.08,2010-12,False,Wednesday,10
536395,22188,BLACK HEART CARD HOLDER,8,2010-12-01 10:47:00,3.95,13767,United Kingdom,31.6,2010-12,False,Wednesday,10
536397,35004B,SET OF 3 BLACK FLYING DUCKS,12,2010-12-01 10:51:00,4.65,17924,United Kingdom,55.800000000000004,2010-12,False,Wednesday,10
536398,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2010-12-01 10:52:00,0.29,13448,United Kingdom,6.959999999999999,2010-12,False,Wednesday,10
536401,22110,BIRD HOUSE HOT WATER BOTTLE,1,2010-12-01 11:21:00,2.55,15862,United Kingdom,2.55,2010-12,False,Wednesday,11
536402,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2010-12-01 11:22:00,2.55,15513,United Kingdom,102.0,2010-12,False,Wednesday,11
536403,22867,HAND WARMER BIRD DESIGN,96,2010-12-01 11:27:00,1.85,12791,Netherlands,177.60000000000002,2010-12,False,Wednesday,11
536404,22297,HEART IVORY TRELLIS SMALL,24,2010-12-01 11:29:00,1.25,16218,United Kingdom,30.0,2010-12,False,Wednesday,11
536405,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2010-12-01 11:32:00,2.55,14045,United Kingdom,326.4,2010-12,False,Wednesday,11
536408,22537,MAGIC DRAWING SLATE DINOSAUR,24,2010-12-01 11:41:00,0.42,14307,United Kingdom,10.08,2010-12,False,Wednesday,11
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,2010-12-01 11:45:00,6.35,17908,United Kingdom,19.049999999999997,2010-12,False,Wednesday,11
536412,20728,LUNCH BAG CARS BLUE,3,2010-12-01 11:49:00,1.65,17920,United Kingdom,4.949999999999999,2010-12,False,Wednesday,11
536415,22952,60 CAKE CASES VINTAGE CHRISTMAS,10,2010-12-01 11:57:00,0.55,12838,United Kingdom,5.5,2010-12,False,Wednesday,11
536416,21494,ROTATING LEAVES T-LIGHT HOLDER,12,2010-12-01 11:58:00,1.25,13255,United Kingdom,15.0,2010-12,False,Wednesday,11
536420,21889,WOODEN BOX OF DOMINOES,12,2010-12-01 12:03:00,1.25,16583,United Kingdom,15.0,2010-12,False,Wednesday,12
536423,22619,SET OF 6 SOLDIER SKITTLES,4,2010-12-01 12:08:00,3.75,18085,United Kingdom,15.0,2010-12,False,Wednesday,12
536425,22837,HOT WATER BOTTLE BABUSHKA ,8,2010-12-01 12:08:00,4.65,13758,United Kingdom,37.2,2010-12,False,Wednesday,12
536437,21154,RED RETROSPOT OVEN GLOVE ,200,2010-12-01 12:12:00,1.06,13694,United Kingdom,212.0,2010-12,False,Wednesday,12
536446,85172,HYACINTH BULB T-LIGHT CANDLES,32,2010-12-01 12:15:00,0.42,15983,United Kingdom,13.44,2010-12,False,Wednesday,12
536460,22670,FRENCH WC SIGN BLUE METAL,12,2010-12-01 12:22:00,1.25,14849,United Kingdom,15.0,2010-12,False,Wednesday,12
536464,90200B,BLACK SWEETHEART BRACELET,2,2010-12-01 12:23:00,4.25,17968,United Kingdom,8.5,2010-12,False,Wednesday,12
536477,21314,SMALL GLASS HEART TRINKET POT,48,2010-12-01 12:27:00,1.85,16210,United Kingdom,88.80000000000001,2010-12,False,Wednesday,12
536488,22738,RIBBON REEL SNOWY VILLAGE,5,2010-12-01 12:31:00,1.65,17897,United Kingdom,8.25,2010-12,False,Wednesday,12
536500,21622,VINTAGE UNION JACK CUSHION COVER,10,2010-12-01 12:35:00,4.95,17377,United Kingdom,49.5,2010-12,False,Wednesday,12
536502,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 12:36:00,1.69,16552,United Kingdom,27.04,2010-12,False,Wednesday,12
536508,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,72,2010-12-01 12:38:00,1.06,17181,United Kingdom,76.32000000000001,2010-12,False,Wednesday,12
536514,22865,HAND WARMER OWL DESIGN,36,2010-12-01 12:40:00,2.1,17951,United Kingdom,75.60000000000001,2010-12,False,Wednesday,12
536520,21794,CLASSIC FRENCH STYLE BASKET NATURAL,1,2010-12-01 12:43:00,6.75,14729,United Kingdom,6.75,2010-12,False,Wednesday,12
536521,22854,CREAM SWEETHEART EGG HOLDER,1,2010-12-01 12:48:00,4.95,12748,United Kingdom,4.95,2010-12,False,Wednesday,12
536522,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,2010-12-01 12:49:00,3.75,15012,United Kingdom,3.75,2010-12,False,Wednesday,12
536523,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,2010-12-01 12:50:00,4.95,12868,United Kingdom,29.700000000000003,2010-12,False,Wednesday,12
536524,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,2010-12-01 12:51:00,2.95,17572,United Kingdom,17.700000000000003,2010-12,False,Wednesday,12
536525,21826,EIGHT PIECE DINOSAUR SET,2,2010-12-01 12:54:00,1.25,14078,United Kingdom,2.5,2010-12,False,Wednesday,12
536526,21135,VICTORIAN  METAL POSTCARD SPRING,16,2010-12-01 12:58:00,1.69,14001,United Kingdom,27.04,2010-12,False,Wednesday,12
536527,22809,SET OF 6 T-LIGHTS SANTA,6,2010-12-01 13:04:00,2.95,12662,Germany,17.700000000000003,2010-12,False,Wednesday,13
536528,22815,CARD PSYCHEDELIC APPLES,12,2010-12-01 13:17:00,0.42,15525,United Kingdom,5.04,2010-12,False,Wednesday,13
536529,22222,CAKE PLATE LOVEBIRD WHITE,3,2010-12-01 13:20:00,4.95,14237,United Kingdom,14.850000000000001,2010-12,False,Wednesday,13
536530,22360,GLASS JAR ENGLISH CONFECTIONERY,2,2010-12-01 13:21:00,2.95,17905,United Kingdom,5.9,2010-12,False,Wednesday,13
536531,21519,GIN & TONIC DIET GREETING CARD ,24,2010-12-01 13:23:00,0.42,15485,United Kingdom,10.08,2010-12,False,Wednesday,13
536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,2010-12-01 13:24:00,0.42,12433,Norway,21.0,2010-12,False,Wednesday,13
536533,20754,RETROSPOT RED WASHING UP GLOVES,6,2010-12-01 13:31:00,2.1,16955,United Kingdom,12.600000000000001,2010-12,False,Wednesday,13
536534,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-01 13:33:00,2.1,15350,United Kingdom,25.200000000000003,2010-12,False,Wednesday,13
536535,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2010-12-01 13:38:00,4.95,15605,United Kingdom,14.850000000000001,2010-12,False,Wednesday,13
536536,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-01 13:45:00,4.95,18144,United Kingdom,14.850000000000001,2010-12,False,Wednesday,13
536537,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,36,2010-12-01 13:51:00,2.1,15922,United Kingdom,75.60000000000001,2010-12,False,Wednesday,13
536538,21466,RED FLOWER CROCHET FOOD COVER,1,2010-12-01 13:54:00,3.75,14594,United Kingdom,3.75,2010-12,False,Wednesday,13
536539,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 14:03:00,1.45,15165,United Kingdom,17.4,2010-12,False,Wednesday,14
536540,22968,ROSE COTTAGE KEEPSAKE BOX ,4,2010-12-01 14:05:00,9.95,14911,EIRE,39.8,2010-12,False,Wednesday,14
536542,22382,LUNCH BAG SPACEBOY DESIGN ,10,2010-12-01 14:11:00,1.65,16456,United Kingdom,16.5,2010-12,False,Wednesday,14
536551,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,1,2010-12-01 14:34:00,0.95,17346,United Kingdom,0.95,2010-12,False,Wednesday,14
536556,22599,CHRISTMAS MUSICAL ZINC STAR,12,2010-12-01 14:38:00,0.85,17643,United Kingdom,10.2,2010-12,False,Wednesday,14
536557,21495,SKULLS AND CROSSBONES WRAP,25,2010-12-01 14:41:00,0.42,17841,United Kingdom,10.5,2010-12,False,Wednesday,14
536559,84884A,ANT WHITE WIRE HEART SPIRAL,10,2010-12-01 14:54:00,3.95,17873,United Kingdom,39.5,2010-12,False,Wednesday,14
536560,79321,CHILLI LIGHTS,48,2010-12-01 15:00:00,4.25,13093,United Kingdom,204.0,2010-12,False,Wednesday,15
536561,22318,FIVE HEART HANGING DECORATION,6,2010-12-01 15:06:00,2.95,12921,United Kingdom,17.700000000000003,2010-12,False,Wednesday,15
536562,21777,RECIPE BOX WITH METAL HEART,2,2010-12-01 15:08:00,7.95,13468,United Kingdom,15.9,2010-12,False,Wednesday,15
536563,85199S,SMALL HANGING IVORY/RED WOOD BIRD,72,2010-12-01 15:08:00,0.42,17760,United Kingdom,30.24,2010-12,False,Wednesday,15
536566,21668,RED STRIPE CERAMIC DRAWER KNOB,6,2010-12-01 15:21:00,1.25,16928,United Kingdom,7.5,2010-12,False,Wednesday,15
536567,22867,HAND WARMER BIRD DESIGN,24,2010-12-01 15:27:00,2.1,16048,United Kingdom,50.400000000000006,2010-12,False,Wednesday,15
536569,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2010-12-01 15:35:00,8.5,16274,United Kingdom,8.5,2010-12,False,Wednesday,15
536570,84836,ZINC METAL HEART DECORATION,12,2010-12-01 15:35:00,1.25,14496,United Kingdom,15.0,2010-12,False,Wednesday,15
536571,85032D,YULETIDE IMAGES GIFT WRAP SET,6,2010-12-01 15:37:00,2.1,14696,United Kingdom,12.600000000000001,2010-12,False,Wednesday,15
536572,22589,CARDHOLDER GINGHAM STAR,6,2010-12-01 15:40:00,2.55,16539,United Kingdom,15.299999999999999,2010-12,False,Wednesday,15
536573,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2010-12-01 15:45:00,0.65,17025,United Kingdom,10.4,2010-12,False,Wednesday,15
536575,21864,UNION JACK FLAG PASSPORT COVER ,72,2010-12-01 16:01:00,1.69,13777,United Kingdom,121.67999999999999,2010-12,False,Wednesday,16
536578,22837,HOT WATER BOTTLE BABUSHKA ,12,2010-12-01 16:15:00,4.65,17690,United Kingdom,55.800000000000004,2010-12,False,Wednesday,16
536582,21668,RED STRIPE CERAMIC DRAWER KNOB,12,2010-12-01 16:21:00,1.25,12947,United Kingdom,15.0,2010-12,False,Wednesday,16
536585,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2010-12-01 16:24:00,9.95,17460,United Kingdom,19.9,2010-12,False,Wednesday,16
536586,22846,BREAD BIN DINER STYLE RED ,8,2010-12-01 16:25:00,14.95,18229,United Kingdom,119.6,2010-12,False,Wednesday,16
536587,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,2010-12-01 16:33:00,1.49,14142,United Kingdom,17.88,2010-12,False,Wednesday,16
536588,22960,JAM MAKING SET WITH JARS,6,2010-12-01 16:49:00,4.25,17069,United Kingdom,25.5,2010-12,False,Wednesday,16
536590,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 16:52:00,1.45,13065,United Kingdom,17.4,2010-12,False,Wednesday,16
536591,21427,SKULLS STORAGE BOX SMALL,1,2010-12-01 16:57:00,2.1,14606,United Kingdom,2.1,2010-12,False,Wednesday,16
536593,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2010-12-01 17:15:00,7.95,16835,United Kingdom,15.9,2010-12,False,Wednesday,17
536594,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-12-01 17:22:00,2.95,15235,United Kingdom,17.700000000000003,2010-12,False,Wednesday,17
536595,21877,HOME SWEET HOME MUG,1,2010-12-01 17:24:00,1.25,13576,United Kingdom,1.25,2010-12,False,Wednesday,17
536597,22952,60 CAKE CASES VINTAGE CHRISTMAS,4,2010-12-01 17:35:00,0.55,18011,United Kingdom,2.2,2010-12,False,Wednesday,17
536598,21421,PORCELAIN ROSE LARGE ,12,2010-12-02 07:48:00,1.25,13090,United Kingdom,15.0,2010-12,False,Thursday,7
536599,22968,ROSE COTTAGE KEEPSAKE BOX ,8,2010-12-02 07:49:00,8.5,15694,United Kingdom,68.0,2010-12,False,Thursday,7
536604,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,2010-12-02 08:43:00,0.85,14741,United Kingdom,10.2,2010-12,False,Thursday,8
536605,21364,PEACE SMALL WOOD LETTERS,2,2010-12-02 08:52:00,6.75,13715,United Kingdom,13.5,2010-12,False,Thursday,8
536607,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2010-12-02 09:29:00,9.95,17732,United Kingdom,19.9,2010-12,False,Thursday,9
536608,22863,SOAP DISH BROCANTE,6,2010-12-02 09:37:00,2.95,12855,United Kingdom,17.700000000000003,2010-12,False,Thursday,9
536611,22865,HAND WARMER OWL DESIGN,12,2010-12-02 09:43:00,2.1,15752,United Kingdom,25.200000000000003,2010-12,False,Thursday,9
536613,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2010-12-02 09:44:00,2.1,17855,United Kingdom,12.600000000000001,2010-12,False,Thursday,9
536615,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2010-12-02 10:09:00,1.95,14047,United Kingdom,15.6,2010-12,False,Thursday,10
536616,21137,BLACK RECORD COVER FRAME,72,2010-12-02 10:10:00,3.39,17925,United Kingdom,244.08,2010-12,False,Thursday,10
536617,21356,TOAST ITS - FAIRY FLOWER,12,2010-12-02 10:17:00,1.25,13941,United Kingdom,15.0,2010-12,False,Thursday,10
536618,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2010-12-02 10:17:00,0.65,17017,United Kingdom,15.600000000000001,2010-12,False,Thursday,10
536620,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2010-12-02 10:27:00,2.1,14135,United Kingdom,12.600000000000001,2010-12,False,Thursday,10
536621,22549,PICTURE DOMINOES,24,2010-12-02 10:35:00,1.45,13108,United Kingdom,34.8,2010-12,False,Thursday,10
536623,21355,TOAST ITS - I LOVE YOU ,24,2010-12-02 10:39:00,1.25,15601,United Kingdom,30.0,2010-12,False,Thursday,10
536624,22676,FRENCH BLUE METAL DOOR SIGN 1,10,2010-12-02 10:45:00,1.25,13418,United Kingdom,12.5,2010-12,False,Thursday,10
536627,22927,GREEN GIANT GARDEN THERMOMETER,2,2010-12-02 10:53:00,5.95,15658,United Kingdom,11.9,2010-12,False,Thursday,10
536632,21931,JUMBO STORAGE BAG SUKI,10,2010-12-02 11:02:00,1.95,14388,United Kingdom,19.5,2010-12,False,Thursday,11
536633,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2010-12-02 11:20:00,0.55,14901,United Kingdom,13.200000000000001,2010-12,False,Thursday,11
536634,22457,NATURAL SLATE HEART CHALKBOARD ,4,2010-12-02 11:21:00,2.95,18041,United Kingdom,11.8,2010-12,False,Thursday,11
536635,21429,RED GINGHAM ROSE JEWELLERY BOX,16,2010-12-02 11:22:00,1.65,15955,United Kingdom,26.4,2010-12,False,Thursday,11
536636,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36,2010-12-02 11:23:00,2.95,15070,United Kingdom,106.2,2010-12,False,Thursday,11
536638,20992,JAZZ HEARTS PURSE NOTEBOOK,12,2010-12-02 11:41:00,0.85,16244,United Kingdom,10.2,2010-12,False,Thursday,11
536639,22632,HAND WARMER RED RETROSPOT,12,2010-12-02 11:45:00,2.1,15111,United Kingdom,25.200000000000003,2010-12,False,Thursday,11
536643,85136A,YELLOW SHARK HELICOPTER,1,2010-12-02 11:57:00,7.95,14390,United Kingdom,7.95,2010-12,False,Thursday,11
536663,22867,HAND WARMER BIRD DESIGN,24,2010-12-02 12:07:00,2.1,16546,United Kingdom,50.400000000000006,2010-12,False,Thursday,12
536667,22601,CHRISTMAS RETROSPOT ANGEL WOOD,24,2010-12-02 12:09:00,0.85,15260,United Kingdom,20.4,2010-12,False,Thursday,12
536671,85061W,WHITE JEWELLED HEART DECORATION,24,2010-12-02 12:10:00,0.85,13305,United Kingdom,20.4,2010-12,False,Thursday,12
536672,22812,PACK 3 BOXES CHRISTMAS PANNETONE,24,2010-12-02 12:10:00,1.95,14491,United Kingdom,46.8,2010-12,False,Thursday,12
536673,21014,SWISS CHALET TREE DECORATION ,60,2010-12-02 12:11:00,0.85,14060,United Kingdom,51.0,2010-12,False,Thursday,12
536674,21034,REX CASH+CARRY JUMBO SHOPPER,5,2010-12-02 12:16:00,0.95,15923,United Kingdom,4.75,2010-12,False,Thursday,12
536676,84846A,SCENTED CANDLE IN DIGITALIS TIN,6,2010-12-02 12:18:00,2.1,16752,United Kingdom,12.600000000000001,2010-12,False,Thursday,12
536681,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-12-02 12:22:00,3.25,17287,United Kingdom,3.25,2010-12,False,Thursday,12
536698,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2010-12-02 12:28:00,1.65,15363,United Kingdom,19.799999999999997,2010-12,False,Thursday,12
536707,37495,FAIRY CAKE BIRTHDAY CANDLE SET,4,2010-12-02 12:33:00,3.75,12915,United Kingdom,15.0,2010-12,False,Thursday,12
536732,21238,RED RETROSPOT CUP,8,2010-12-02 12:47:00,0.85,15544,United Kingdom,6.8,2010-12,False,Thursday,12
536733,21206,STRAWBERRY HONEYCOMB  GARLAND ,12,2010-12-02 12:50:00,1.65,15738,United Kingdom,19.799999999999997,2010-12,False,Thursday,12
536735,22659,LUNCH BOX I LOVE LONDON,128,2010-12-02 12:58:00,1.65,17381,United Kingdom,211.2,2010-12,False,Thursday,12
536738,22806,SET OF 6 T-LIGHTS WEDDING CAKE ,6,2010-12-02 13:06:00,2.95,15827,United Kingdom,17.700000000000003,2010-12,False,Thursday,13
536739,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2010-12-02 13:08:00,2.95,14180,United Kingdom,17.700000000000003,2010-12,False,Thursday,13
536741,17090D,VANILLA INCENSE 40 CONES IN TIN,6,2010-12-02 13:11:00,1.25,13117,United Kingdom,7.5,2010-12,False,Thursday,13
536742,47504H,ENGLISH ROSE SPIRIT LEVEL ,1,2010-12-02 13:14:00,1.95,16916,United Kingdom,1.95,2010-12,False,Thursday,13
536743,22045,SPACEBOY GIFT WRAP,25,2010-12-02 13:32:00,0.42,17964,United Kingdom,10.5,2010-12,False,Thursday,13
536744,22898,CHILDRENS APRON APPLES DESIGN,25,2010-12-02 13:36:00,1.95,14466,United Kingdom,48.75,2010-12,False,Thursday,13
536745,22738,RIBBON REEL SNOWY VILLAGE,30,2010-12-02 13:38:00,1.65,17235,United Kingdom,49.5,2010-12,False,Thursday,13
536746,22768,FAMILY PHOTO FRAME CORNICE,2,2010-12-02 13:39:00,9.95,16510,United Kingdom,19.9,2010-12,False,Thursday,13
536747,16156S,WRAP PINK FAIRY CAKES ,25,2010-12-02 13:44:00,0.42,17802,United Kingdom,10.5,2010-12,False,Thursday,13
536748,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2010-12-02 13:45:00,0.85,15107,United Kingdom,10.2,2010-12,False,Thursday,13
536749,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2010-12-02 13:49:00,3.75,17976,United Kingdom,3.75,2010-12,False,Thursday,13
536754,22988,SOLDIERS EGG CUP ,2,2010-12-02 14:09:00,1.25,14449,United Kingdom,2.5,2010-12,False,Thursday,14
536759,48111,DOORMAT 3 SMILEY CATS,4,2010-12-02 14:26:00,7.95,16781,United Kingdom,31.8,2010-12,False,Thursday,14
536761,21116,OWL DOORSTOP,3,2010-12-02 14:30:00,4.95,13491,United Kingdom,14.850000000000001,2010-12,False,Thursday,14
536762,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2010-12-02 14:40:00,1.25,16186,United Kingdom,15.0,2010-12,False,Thursday,14
536763,85114A,BLACK ENCHANTED FOREST PLACEMAT,120,2010-12-02 14:42:00,1.45,17685,United Kingdom,174.0,2010-12,False,Thursday,14
536769,22776,SWEETHEART CAKESTAND 3 TIER,4,2010-12-02 14:47:00,9.95,17581,United Kingdom,39.8,2010-12,False,Thursday,14
536777,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2010-12-02 15:00:00,0.65,15732,United Kingdom,15.600000000000001,2010-12,False,Thursday,15
536778,21422,PORCELAIN ROSE SMALL,16,2010-12-02 15:03:00,0.85,13138,United Kingdom,13.6,2010-12,False,Thursday,15
536779,BANK CHARGES,Bank Charges,1,2010-12-02 15:08:00,15.0,15823,United Kingdom,15.0,2010-12,False,Thursday,15
536782,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2010-12-02 15:18:00,4.95,17567,United Kingdom,14.850000000000001,2010-12,False,Thursday,15
536783,22530,MAGIC DRAWING SLATE DOLLY GIRL ,60,2010-12-02 15:19:00,0.36,15061,United Kingdom,21.599999999999998,2010-12,False,Thursday,15
536793,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-02 15:39:00,3.75,16203,United Kingdom,15.0,2010-12,False,Thursday,15
536795,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2010-12-02 15:40:00,2.55,15640,United Kingdom,102.0,2010-12,False,Thursday,15
536796,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,2010-12-02 15:46:00,4.25,15574,United Kingdom,4.25,2010-12,False,Thursday,15
536797,90002D,FLOWER BURST SILVER RING CRYSTAL,4,2010-12-02 15:49:00,3.75,16770,United Kingdom,15.0,2010-12,False,Thursday,15
536798,22427,ENAMEL FLOWER JUG CREAM,1,2010-12-02 15:55:00,5.95,17838,United Kingdom,5.95,2010-12,False,Thursday,15
536799,21931,JUMBO STORAGE BAG SUKI,3,2010-12-02 16:00:00,1.95,17228,United Kingdom,5.85,2010-12,False,Thursday,16
536800,22960,JAM MAKING SET WITH JARS,6,2010-12-02 16:12:00,4.25,14829,United Kingdom,25.5,2010-12,False,Thursday,16
536802,22735,RIBBON REEL SOCKS AND MITTENS,10,2010-12-02 16:29:00,1.65,17412,United Kingdom,16.5,2010-12,False,Thursday,16
536804,21745,GAOLERS KEYS DECORATIVE GARDEN ,24,2010-12-02 16:34:00,3.39,14031,United Kingdom,81.36,2010-12,False,Thursday,16
536805,21788,KIDS RAIN MAC BLUE,24,2010-12-02 16:38:00,0.85,14775,United Kingdom,20.4,2010-12,False,Thursday,16
536806,21803,CHRISTMAS TREE STAR DECORATION,36,2010-12-02 16:42:00,0.42,12971,United Kingdom,15.12,2010-12,False,Thursday,16
536808,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-02 16:46:00,12.75,17659,United Kingdom,12.75,2010-12,False,Thursday,16
536809,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,2010-12-02 16:48:00,0.55,15299,United Kingdom,1003.2,2010-12,False,Thursday,16
536813,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2010-12-02 16:59:00,2.95,15646,United Kingdom,17.700000000000003,2010-12,False,Thursday,16
536819,22427,ENAMEL FLOWER JUG CREAM,3,2010-12-02 17:12:00,5.95,13402,United Kingdom,17.85,2010-12,False,Thursday,17
536821,22630,DOLLY GIRL LUNCH BOX,1,2010-12-02 17:17:00,1.95,17757,United Kingdom,1.95,2010-12,False,Thursday,17
536823,22508,DOORSTOP RETROSPOT HEART,4,2010-12-02 17:22:00,3.75,13011,United Kingdom,15.0,2010-12,False,Thursday,17
536824,85123A,WHITE HANGING HEART T-LIGHT HOLDER,160,2010-12-02 17:24:00,2.55,13798,United Kingdom,408.0,2010-12,False,Thursday,17
536830,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2880,2010-12-02 17:38:00,0.18,16754,United Kingdom,518.4,2010-12,False,Thursday,17
536832,21927,BLUE/CREAM STRIPE CUSHION COVER ,24,2010-12-02 17:41:00,1.25,16634,United Kingdom,30.0,2010-12,False,Thursday,17
536833,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 17:48:00,2.95,18239,United Kingdom,17.700000000000003,2010-12,False,Thursday,17
536834,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",12,2010-12-02 17:51:00,2.95,14576,United Kingdom,35.400000000000006,2010-12,False,Thursday,17
536835,22655,VINTAGE RED KITCHEN CABINET,1,2010-12-02 18:06:00,295.0,13145,United Kingdom,295.0,2010-12,False,Thursday,18
536836,21231,SWEETHEART CERAMIC TRINKET BOX,20,2010-12-02 18:08:00,1.25,18168,United Kingdom,25.0,2010-12,False,Thursday,18
536837,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-12-02 18:15:00,7.95,14395,United Kingdom,15.9,2010-12,False,Thursday,18
536838,15036,ASSORTED COLOURS SILK FAN,24,2010-12-02 18:23:00,0.75,14865,United Kingdom,18.0,2010-12,False,Thursday,18
536839,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288,2010-12-02 18:25:00,0.21,15093,United Kingdom,60.48,2010-12,False,Thursday,18
